20 22 -> 14 fr=19 (0.3800), cf=0.864, gamma=1.599, delta=0.142, M=-9.967e+00
5 14 22 -> 20 fr=19 (0.3800), cf=0.864, gamma=1.599, delta=0.142, M=-9.967e+00
28 46 -> 76 fr=9 (0.1800), cf=0.692, gamma=2.885, delta=0.118, M=-9.958e+00
14 22 37 -> 20 fr=13 (0.2600), cf=1.000, gamma=1.852, delta=0.120, M=-9.781e+00
28 47 -> 76 fr=7 (0.1400), cf=0.875, gamma=3.646, delta=0.102, M=-9.773e+00
3 47 50 -> 76 fr=7 (0.1400), cf=0.875, gamma=3.646, delta=0.102, M=-9.773e+00
2 -> 21 fr=5 (0.1000), cf=0.833, gamma=5.952, delta=0.083, M=-9.768e+00
17 20 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
14 17 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
6 17 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
17 22 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
4 17 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
0 17 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
14 23 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
1 19 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
14 19 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
19 22 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
7 14 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
1 22 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
1 17 -> 21 fr=5 (0.1000), cf=0.833, gamma=5.952, delta=0.083, M=-9.768e+00
19 23 -> 21 fr=5 (0.1000), cf=0.833, gamma=5.952, delta=0.083, M=-9.768e+00
9 19 20 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
6 19 20 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
1 14 20 -> 2 fr=5 (0.1000), cf=0.714, gamma=5.952, delta=0.083, M=-9.768e+00
50 51 59 -> 75 fr=5 (0.1000), cf=0.833, gamma=5.952, delta=0.083, M=-9.768e+00
1 51 59 -> 75 fr=5 (0.1000), cf=0.833, gamma=5.952, delta=0.083, M=-9.768e+00
